STATE,COUNTY,FIPS,TRACT,population,AVGCONCMAJ,AVGCONCAR,AVGCONCON,AVGCONCNON,AVGCONCBK,AVGCONCSEC,AVGCONCTOT,AVGEXPMAJ,AVGEXPAR,AVGEXPON,AVGEXPNON,AVGEXPBK,AVGEXPSEC,AVGEXPTOT,AVGRSKMAJ,AVGRSKAR,AVGRSKON,AVGRSKNON,AVGRSKBK,AVGRSKSEC,AVGRSKTOT,RESPTOT,NEURTOT,LIVRTOT,DEVTOT,RPROTOT,KIDNTOT,OCULTOT,ENDOTOT,HEMATOT,IMMUTOT,SKELTOT,SPLETOT,THYRTOT,WHOLTOT,Chemical.Name
TX,Galveston,48167,48167720700,5121,0.010143823,0.011395197,0.061338786,0.039475492,0,1.28535,1.407703297,0.008460905,0.010240034,0.069563175,0.043328177,0,0.955852878,1.087445169,1.86E-08,2.25E-08,1.53E-07,9.53E-08,0,2.10E-06,2.39E-06,0.120827241,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720700,5121,0.101652434,0.127725557,0.226154819,0.045274588,0.287404105,0,0.788211503,0.094929315,0.114647295,0.246644342,0.051086778,0.211016597,0,0.718324327,7.40E-07,8.94E-07,1.92E-06,3.98E-07,1.65E-06,0,5.60E-06,0,0,0,0,0,0,0,0,0,0.023944144,0,0,0,0,BENZENE
TX,Galveston,48167,48167720700,5121,0.021890559,7.98E-05,0.021477925,0.003410764,0.023829384,0,0.070688401,0.019951805,6.35E-05,0.022803655,0.004794753,0.017394709,0,0.065008422,5.99E-07,1.91E-09,6.84E-07,1.44E-07,5.22E-07,0,1.95E-06,0,0,0,0,0.032504211,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720700,5121,0.008200689,0.020091263,0,0,0,0,0.028291952,0.008424317,0.013169598,0,0,0,0,0.021593915,0,0,0,0,0,0,0,0,0.007197972,0,0,0,0,0,0,0,0,0,0,0.007197972,0,CYANIDE
TX,Galveston,48167,48167720700,5121,0,0,0.836850542,0.652576519,0,0,1.489427061,0,0,0.555482004,0.351362052,0,0,0.906844056,0,0,0,0,0,0,0,0.181368811,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720700,5121,0.092402268,0.334026867,0.712988287,0.083440024,0.565045325,0,1.787902772,0.083069393,0.297981777,0.756442068,0.086094877,0.50407086,0,1.727658975,0,0,0,0,0,0,0,0,0.000345532,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720800,3275,0.009517671,0.008123625,0.081996871,0.029705705,0,1.28535,1.414693872,0.007925937,0.007018622,0.094498562,0.030861296,0,0.998533744,1.138838161,1.74E-08,1.54E-08,2.08E-07,6.79E-08,0,2.20E-06,2.51E-06,0.126537573,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720800,3275,0.092444055,0.115586395,0.303644546,0.038886456,0.287404105,0,0.837965556,0.082275373,0.110003037,0.329587065,0.041387784,0.223382545,0,0.786635804,6.42E-07,8.58E-07,2.57E-06,3.23E-07,1.74E-06,0,6.14E-06,0,0,0,0,0,0,0,0,0,0.026221193,0,0,0,0,BENZENE
TX,Galveston,48167,48167720800,3275,0.018418004,2.90E-05,0.028837621,0.002992896,0.023829384,0,0.074106878,0.017596801,2.51E-05,0.030786186,0.003468449,0.018969982,0,0.070846552,5.28E-07,7.54E-10,9.24E-07,1.04E-07,5.69E-07,0,2.13E-06,0,0,0,0,0.035423276,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720800,3275,0.006842713,0.029520819,0,0,0,0,0.036363532,0.006766783,0.01890346,0,0,0,0,0.025670243,0,0,0,0,0,0,0,0,0.008556748,0,0,0,0,0,0,0,0,0,0,0.008556748,0,CYANIDE
